album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_l95_rank,Primary Genre
Coalesce-012-Revolution-in-Just-Listening,0,0,NaN,73,0,0,401,Hardcore
Corelia-Nostalgia,0,0,NaN,514,0,0,401,Progressive Metal
Cult-of-Luna-and-Julie-Christmas-Mariner,1,1,1,928,0.0010775862068965517,0,401,Post Metal
Cursed-II,0,0,NaN,146,0,0,401,Hardcore
Cypress-Hill-Black-Sunday,0,0,NaN,39,0,0,401,Hip-Hop
Cypress-Hill-Cypress-Hill,0,0,NaN,19,0,0,401,Hip-Hop
Death-Leprosy,0,0,NaN,23,0,0,401,Death Metal
Deathspell-Omega-Kenose,0,0,NaN,18,0,0,401,Black Metal
Dream-Theater-Live-at-Budokan,0,0,NaN,41,0,0,401,Progressive Metal
Dream-Theater-Live-Scenes-From-New-York,0,0,NaN,20,0,0,401,Progressive Metal
Dream-Theater-Score,0,0,NaN,32,0,0,401,Progressive Metal
Dream-Theater-Six-Degrees-of-Inner-Turbulence,0,0,NaN,153,0,0,401,Progressive Metal
Enslaved-Isa,0,0,NaN,46,0,0,401,Black Metal
Entombed-Clandestine,0,0,NaN,93,0,0,401,Death Metal
Epica-Design-Your-Universe,0,0,NaN,50,0,0,401,Power Metal
Faith-No-More-Angel-Dust,0,0,NaN,174,0,0,401,Alternative Rock
Faith-No-More-The-Real-Thing,1,1,1,254,0.003937007874015748,0,401,Alternative Rock
Fates-Warning-Awaken-the-Guardian,0,0,NaN,188,0,0,401,Progressive Metal
Fates-Warning-No-Exit,0,0,NaN,41,0,0,401,Progressive Metal
Fates-Warning-Parallels,1,1,1,272,0.003676470588235294,0,401,Progressive Metal
Gamma-Ray-No-World-Order,0,0,NaN,19,0,0,401,Power Metal
Gamma-Ray-Somewhere-Out-in-Space,1,1,1,54,0.018518518518518517,0,401,Power Metal
Giant-Squid-The-Ichthyologist,1,1,1,73,0.0136986301369863,0,401,Progressive Rock
Gojira-The-Way-of-All-Flesh,0,0,NaN,15,0,0,401,Death Metal
Gorod-Leading-Vision,0,0,NaN,144,0,0,401,Death Metal
Helloween-Keeper-of-the-Seven-Keys-Part-I,0,0,NaN,89,0,0,401,Power Metal
Helloween-Keeper-of-the-Seven-Keys-Part-II,0,0,NaN,63,0,0,401,Power Metal
Helmet-Meantime,0,0,NaN,193,0,0,401,Post Hardcore
Hopesfall-No-Wings-To-Speak-Of,0,0,NaN,108,0,0,401,Post Hardcore
Hopesfall-The-Satellite-Years,1,1,1,533,0.001876172607879925,0,401,Post Hardcore
Hypocrisy-Abducted,0,0,NaN,84,0,0,401,Melodic Death Metal
Hypocrisy-The-Final-Chapter,0,0,NaN,43,0,0,401,Melodic Death Metal
Ihsahn-After,1,1,1,239,0.0041841004184100415,0,401,Progressive Metal
In-Mourning-Shrouded-Divine,0,0,NaN,616,0,0,401,Progressive Metal
Incubus-Alive-at-Red-Rocks,0,0,NaN,19,0,0,401,Alternative Rock
Incubus-S.C.I.E.N.C.E.,0,0,NaN,25,0,0,401,Alternative Rock
Insomnium-Since-the-Day-It-All-Came-Down,1,1,1,265,0.0037735849056603774,0,401,Melodic Death Metal
Intronaut-The-Direction-of-Last-Things,0,0,NaN,45,0,0,401,Post Metal
Iron-Maiden-Best-of-the-Beast,0,0,NaN,19,0,0,401,Heavy Metal
Iron-Maiden-Rock-in-Rio,0,0,NaN,32,0,0,401,Heavy Metal
Iron-Maiden-Rock-in-Rio-DVD,0,0,NaN,30,0,0,401,Heavy Metal
Jakob-Solace,1,1,1,289,0.0034602076124567475,0,401,Post Rock
Janes-Addiction-Nothings-Shocking,0,0,NaN,63,0,0,401,Alternative Rock
John-Petrucci-Suspended-Animation,0,0,NaN,25,0,0,401,Progressive Metal
Kalmah-Swampsong,1,1,1,71,0.014084507042253521,0,401,Melodic Death Metal
Kalmah-They-Will-Return,0,0,NaN,96,0,0,401,Melodic Death Metal
Karnivool-Sound-Awake,0,0,NaN,303,0,0,401,Progressive Rock
Karnivool-Themata,0,0,NaN,364,0,0,401,Progressive Rock
Katatonia-Last-Fair-Deal-Gone-Down,0,0,NaN,23,0,0,401,Doom Metal
Katatonia-The-Great-Cold-Distance,0,0,NaN,51,0,0,401,Doom Metal
Kayo-Dot-Choirs-of-the-Eye,0,0,NaN,668,0,0,401,Experimental
Kayo-Dot-Dowsing-Anemone-With-Copper-Tongue,0,0,NaN,78,0,0,401,Experimental
Killing-Joke-Killing-Joke,0,0,NaN,68,0,0,401,Post Punk
King-Diamond-Conspiracy,1,1,1,60,0.016666666666666666,0,401,Heavy Metal
King-Diamond-Them,1,1,1,70,0.014285714285714285,0,401,Heavy Metal
Lamb-of-God-Killadelphia,0,0,NaN,53,0,0,401,Thrash Metal
Leprous-Tall-Poppy-Syndrome,0,0,NaN,66,0,0,401,Progressive Metal
Liquid-Tension-Experiment-Liquid-Tension-Experiment-2,0,0,NaN,47,0,0,401,Progressive Metal
Living-Colour-Vivid,0,0,NaN,309,0,0,401,Funk
maudlin-of-the-Well-Leaving-Your-Body-Map,1,1,1,401,0.0024937655860349127,0,401,Experimental
maudlin-of-the-Well-Part-the-Second,0,0,NaN,266,0,0,401,Experimental
Megadeth-Greatest-Hits-Back-to-the-Start,0,0,NaN,50,0,0,401,Thrash Metal
Melvins-Gluey-Porch-Treatments,1,1,1,86,0.011627906976744186,0,401,Sludge Metal
Melvins-Lysol,0,0,NaN,83,0,0,401,Sludge Metal
Metallica-Live-Shit-Binge--Purge,0,0,NaN,143,0,0,401,Thrash Metal
