album,total_m,m_comments,m_ratio,total_comments,m_per_comment,m_per_comment_l95,m_per_comment_user,avg_date,m_over_xM,m_over_xM_rank,Primary Genre
Cryptopsy-Blasphemy-Made-Flesh,24,23,1.0434782608695652,490,0.04897959183673469,0.034492870142044635,0.029478199595703938,2012-07-25,9.55568219810507,73,Death Metal
Carcass-Necroticism-Descanting-the-Insalubrious,24,20,1.2,435,0.05517241379310345,0.03889841842982195,0.03368101062429465,2015-09-04,9.3487603784318285,74,Melodic Death Metal
Exhorder-Slaughter-in-the-Vatican,22,21,1.0476190476190477,392,0.05612244897959184,0.0389112781494283,0.03299471367420815,2014-05-22,9.066072239710405,75,Thrash Metal
Dio-Holy-Diver,26,26,1,556,0.046762589928057555,0.03341188461351879,0.030525689972198886,2014-01-15,9.02771637545742,76,Heavy Metal
Autopsy-Severed-Survival,20,13,1.5384615384615385,423,0.04728132387706856,0.03208607450568254,0.026503442730179107,2013-10-11,8.789043725134237,77,Death Metal
Anthrax-Spreading-the-Disease,16,16,1,245,0.0653061224489796,0.04230126903817122,0.030039119662970546,2014-04-30,8.640415682572218,78,Thrash Metal
Kyuss-Welcome-to-Sky-Valley,37,37,1,1450,0.025517241379310347,0.019260433314598084,0.019812896023780655,2014-06-07,8.271300765518053,79,Stoner Rock
Fates-Warning-Perfect-Symmetry,17,16,1.0625,425,0.04,0.026128310174610876,0.020707132679098756,2013-07-14,8.199468611383029,80,Progressive Metal
Iron-Maiden-Powerslave,59,53,1.1132075471698113,1807,0.0326508024349751,0.026222425974625475,0.028178796917501865,2014-01-22,8.08091397007413,81,Heavy Metal
Dark-Tranquillity-Damage-Done,18,15,1.2,426,0.04225352112676056,0.02798473734501407,0.02335211152585743,2013-11-04,8.052000489984735,82,Melodic Death Metal
Testament-The-Legacy,14,13,1.0769230769230769,221,0.06334841628959276,0.03965038015623105,0.02746588792451551,2013-11-22,7.930038768682071,83,Thrash Metal
Candlemass-Nightfall,18,18,1,257,0.07003891050583658,0.04667943567383817,0.039548282498431085,2012-03-07,7.836091397903211,84,Doom Metal
Black-Sabbath-Master-of-Reality,98,96,1.0208333333333333,3151,0.031101237702316726,0.026274996847060663,0.028673077898349827,2014-12-01,7.6511315422997,85,Doom Metal
Annihilator-Never-Neverland,16,16,1,257,0.0622568093385214,0.040295721316922085,0.03319348836663222,2013-02-07,7.46927348977552,86,Thrash Metal
